,approach,nn_arch,reward,neurons,weights,num_inputs,num_hidden,nn_arch,num_out,num_contr,formel_n,formel_w
0,Centralized,"[128, 128] ",288.788,512,46481,43,128,"[128, 128] ",16,1,512,46481
1,Centralized,"[256, 256] ",7.86305,1024,158481,43,256,"[256, 256] ",16,1,1024,158481
2,Centralized,"[512, 512] ",-15.5569,2048,579089,43,512,"[512, 512] ",16,1,2048,579089
3,Centralized,"[128, 128] ",2775.3,512,46481,43,128,"[128, 128] ",16,1,512,46481
4,Centralized,"[256, 256] ",4.80294,1024,158481,43,256,"[256, 256] ",16,1,1024,158481
5,Centralized,"[512, 512] ",-24.5849,2048,579089,43,512,"[512, 512] ",16,1,2048,579089
6,Centralized,"[128, 128] ",865.708,512,46481,43,128,"[128, 128] ",16,1,512,46481
7,Centralized,"[256, 256] ",-0.198108,1024,158481,43,256,"[256, 256] ",16,1,1024,158481
8,Centralized,"[512, 512] ",-5.98214,2048,579089,43,512,"[512, 512] ",16,1,2048,579089
9,Centralized,"[128, 128] ",263.259,512,46481,43,128,"[128, 128] ",16,1,512,46481
10,Centralized,"[256, 256] ",26.5831,1024,158481,43,256,"[256, 256] ",16,1,1024,158481
11,Centralized,"[512, 512] ",-14.7653,2048,579089,43,512,"[512, 512] ",16,1,2048,579089
12,Centralized,"[128, 128] ",27.4384,512,46481,43,128,"[128, 128] ",16,1,512,46481
13,Centralized,"[256, 256] ",8.38009,1024,158481,43,256,"[256, 256] ",16,1,1024,158481
14,Centralized,"[512, 512] ",-9.40488,2048,579089,43,512,"[512, 512] ",16,1,2048,579089
15,Centralized,"[128, 128] ",1199.82,512,46481,43,128,"[128, 128] ",16,1,512,46481
16,Centralized,"[256, 256] ",18.1989,1024,158481,43,256,"[256, 256] ",16,1,1024,158481
17,Centralized,"[512, 512] ",-11.8137,2048,579089,43,512,"[512, 512] ",16,1,2048,579089
18,Centralized,"[128, 128] ",551.405,512,46481,43,128,"[128, 128] ",16,1,512,46481
19,Centralized,"[256, 256] ",3.46877,1024,158481,43,256,"[256, 256] ",16,1,1024,158481
20,Centralized,"[512, 512] ",-13.0465,2048,579089,43,512,"[512, 512] ",16,1,2048,579089
21,Centralized,"[128, 128] ",77.2745,512,46481,43,128,"[128, 128] ",16,1,512,46481
22,Centralized,"[256, 256] ",-11.5739,1024,158481,43,256,"[256, 256] ",16,1,1024,158481
23,Centralized,"[512, 512] ",-14.5387,2048,579089,43,512,"[512, 512] ",16,1,2048,579089
24,Centralized,"[128, 128] ",115.047,512,46481,43,128,"[128, 128] ",16,1,512,46481
25,Centralized,"[256, 256] ",-3.05385,1024,158481,43,256,"[256, 256] ",16,1,1024,158481
26,Centralized,"[512, 512] ",-24.3702,2048,579089,43,512,"[512, 512] ",16,1,2048,579089
27,Centralized,"[128, 128] ",1425.3,512,46481,43,128,"[128, 128] ",16,1,512,46481
28,Centralized,"[256, 256] ",12.8713,1024,158481,43,256,"[256, 256] ",16,1,1024,158481
29,Centralized,"[512, 512] ",-7.44742,2048,579089,43,512,"[512, 512] ",16,1,2048,579089
30,Centralized,"[16, 16] ",3263.34,64,2241,43,16,"[16, 16] ",16,1,64,2241
31,Centralized,"[32, 32] ",3245.48,128,5489,43,32,"[32, 32] ",16,1,128,5489
32,Centralized,"[16, 16] ",3446.2,64,2241,43,16,"[16, 16] ",16,1,64,2241
33,Centralized,"[32, 32] ",3431.4,128,5489,43,32,"[32, 32] ",16,1,128,5489
34,Centralized,"[16, 16] ",3168.26,64,2241,43,16,"[16, 16] ",16,1,64,2241
35,Centralized,"[32, 32] ",2649.7,128,5489,43,32,"[32, 32] ",16,1,128,5489
36,Centralized,"[16, 16] ",3145.57,64,2241,43,16,"[16, 16] ",16,1,64,2241
37,Centralized,"[32, 32] ",1930.05,128,5489,43,32,"[32, 32] ",16,1,128,5489
38,Centralized,"[16, 16] ",3672.47,64,2241,43,16,"[16, 16] ",16,1,64,2241
39,Centralized,"[32, 32] ",3128.5,128,5489,43,32,"[32, 32] ",16,1,128,5489
40,Centralized,"[16, 16] ",2691.04,64,2241,43,16,"[16, 16] ",16,1,64,2241
41,Centralized,"[32, 32] ",3509.96,128,5489,43,32,"[32, 32] ",16,1,128,5489
42,Centralized,"[16, 16] ",3620.98,64,2241,43,16,"[16, 16] ",16,1,64,2241
43,Centralized,"[32, 32] ",3328.77,128,5489,43,32,"[32, 32] ",16,1,128,5489
44,Centralized,"[16, 16] ",3224.34,64,2241,43,16,"[16, 16] ",16,1,64,2241
45,Centralized,"[32, 32] ",3470.81,128,5489,43,32,"[32, 32] ",16,1,128,5489
46,Centralized,"[16, 16] ",3375.69,64,2241,43,16,"[16, 16] ",16,1,64,2241
47,Centralized,"[32, 32] ",3378.07,128,5489,43,32,"[32, 32] ",16,1,128,5489
48,Centralized,"[16, 16] ",2538.01,64,2241,43,16,"[16, 16] ",16,1,64,2241
49,Centralized,"[32, 32] ",3187.52,128,5489,43,32,"[32, 32] ",16,1,128,5489
50,TwoSides,"[16, 16] ",3468.23,128,3186,27,16,"[16, 16] ",8,2,128,3186
51,TwoSides,"[32, 32] ",3048.8,256,8402,27,32,"[32, 32] ",8,2,256,8402
52,TwoSides,"[128, 128] ",3047.45,1024,82706,27,128,"[128, 128] ",8,2,1024,82706
53,TwoSides,"[256, 256] ",2826.03,2048,296466,27,256,"[256, 256] ",8,2,2048,296466
54,TwoSides,"[16, 16] ",3157.85,128,3186,27,16,"[16, 16] ",8,2,128,3186
55,TwoSides,"[32, 32] ",3255.15,256,8402,27,32,"[32, 32] ",8,2,256,8402
56,TwoSides,"[128, 128] ",3139.5,1024,82706,27,128,"[128, 128] ",8,2,1024,82706
57,TwoSides,"[256, 256] ",2717.53,2048,296466,27,256,"[256, 256] ",8,2,2048,296466
58,TwoSides,"[16, 16] ",3060.64,128,3186,27,16,"[16, 16] ",8,2,128,3186
59,TwoSides,"[32, 32] ",3552.31,256,8402,27,32,"[32, 32] ",8,2,256,8402
60,TwoSides,"[128, 128] ",2985.26,1024,82706,27,128,"[128, 128] ",8,2,1024,82706
61,TwoSides,"[256, 256] ",3065.23,2048,296466,27,256,"[256, 256] ",8,2,2048,296466
62,TwoSides,"[16, 16] ",3381.92,128,3186,27,16,"[16, 16] ",8,2,128,3186
63,TwoSides,"[32, 32] ",3424.06,256,8402,27,32,"[32, 32] ",8,2,256,8402
64,TwoSides,"[128, 128] ",3127.52,1024,82706,27,128,"[128, 128] ",8,2,1024,82706
65,TwoSides,"[256, 256] ",3130.48,2048,296466,27,256,"[256, 256] ",8,2,2048,296466
66,TwoSides,"[16, 16] ",3071.13,128,3186,27,16,"[16, 16] ",8,2,128,3186
67,TwoSides,"[32, 32] ",3161.78,256,8402,27,32,"[32, 32] ",8,2,256,8402
68,TwoSides,"[128, 128] ",3197.66,1024,82706,27,128,"[128, 128] ",8,2,1024,82706
69,TwoSides,"[256, 256] ",2888.1,2048,296466,27,256,"[256, 256] ",8,2,2048,296466
70,TwoSides,"[16, 16] ",3498.48,128,3186,27,16,"[16, 16] ",8,2,128,3186
71,TwoSides,"[32, 32] ",3629.75,256,8402,27,32,"[32, 32] ",8,2,256,8402
72,TwoSides,"[128, 128] ",3380.79,1024,82706,27,128,"[128, 128] ",8,2,1024,82706
73,TwoSides,"[256, 256] ",3098.5,2048,296466,27,256,"[256, 256] ",8,2,2048,296466
74,TwoSides,"[16, 16] ",3597.39,128,3186,27,16,"[16, 16] ",8,2,128,3186
75,TwoSides,"[32, 32] ",3506.05,256,8402,27,32,"[32, 32] ",8,2,256,8402
76,TwoSides,"[128, 128] ",3296.91,1024,82706,27,128,"[128, 128] ",8,2,1024,82706
77,TwoSides,"[256, 256] ",2859.75,2048,296466,27,256,"[256, 256] ",8,2,2048,296466
78,TwoSides,"[16, 16] ",3077.8,128,3186,27,16,"[16, 16] ",8,2,128,3186
79,TwoSides,"[32, 32] ",3253.28,256,8402,27,32,"[32, 32] ",8,2,256,8402
80,TwoSides,"[128, 128] ",3077.91,1024,82706,27,128,"[128, 128] ",8,2,1024,82706
81,TwoSides,"[256, 256] ",3140.23,2048,296466,27,256,"[256, 256] ",8,2,2048,296466
82,Local,"[16, 16] ",2976.75,256,7124,35,16,"[16, 16] ",4,4,256,7124
83,Local,"[32, 32] ",3332.71,512,18324,35,32,"[32, 32] ",4,4,512,18324
84,Local,"[128, 128] ",3170.03,2048,171540,35,128,"[128, 128] ",4,4,2048,171540
85,Local,"[256, 256] ",2926.8,4096,605204,35,256,"[256, 256] ",4,4,4096,605204
86,Local,"[16, 16] ",3321.06,256,7124,35,16,"[16, 16] ",4,4,256,7124
87,Local,"[32, 32] ",2764.68,512,18324,35,32,"[32, 32] ",4,4,512,18324
88,Local,"[128, 128] ",2849.11,2048,171540,35,128,"[128, 128] ",4,4,2048,171540
89,Local,"[256, 256] ",2688.1,4096,605204,35,256,"[256, 256] ",4,4,4096,605204
90,Local,"[16, 16] ",3379.27,256,7124,35,16,"[16, 16] ",4,4,256,7124
91,Local,"[32, 32] ",3165.28,512,18324,35,32,"[32, 32] ",4,4,512,18324
92,Local,"[128, 128] ",2714.83,2048,171540,35,128,"[128, 128] ",4,4,2048,171540
93,Local,"[256, 256] ",3037.07,4096,605204,35,256,"[256, 256] ",4,4,4096,605204
94,Local,"[16, 16] ",2823.44,256,7124,35,16,"[16, 16] ",4,4,256,7124
95,Local,"[32, 32] ",2808.23,512,18324,35,32,"[32, 32] ",4,4,512,18324
96,Local,"[128, 128] ",3136.06,2048,171540,35,128,"[128, 128] ",4,4,2048,171540
97,Local,"[256, 256] ",3040.67,4096,605204,35,256,"[256, 256] ",4,4,4096,605204
98,Local,"[16, 16] ",3232.33,256,7124,35,16,"[16, 16] ",4,4,256,7124
99,Local,"[32, 32] ",2992.28,512,18324,35,32,"[32, 32] ",4,4,512,18324
100,Local,"[128, 128] ",2881.54,2048,171540,35,128,"[128, 128] ",4,4,2048,171540
101,Local,"[256, 256] ",2749.19,4096,605204,35,256,"[256, 256] ",4,4,4096,605204
102,Local,"[16, 16] ",3275.46,256,7124,35,16,"[16, 16] ",4,4,256,7124
103,Local,"[32, 32] ",3067.18,512,18324,35,32,"[32, 32] ",4,4,512,18324
104,Local,"[128, 128] ",3069.11,2048,171540,35,128,"[128, 128] ",4,4,2048,171540
105,Local,"[256, 256] ",3005.52,4096,605204,35,256,"[256, 256] ",4,4,4096,605204
106,Local,"[16, 16] ",2913.71,256,7124,35,16,"[16, 16] ",4,4,256,7124
107,Local,"[32, 32] ",3170.38,512,18324,35,32,"[32, 32] ",4,4,512,18324
108,Local,"[128, 128] ",3091.85,2048,171540,35,128,"[128, 128] ",4,4,2048,171540
109,Local,"[256, 256] ",2555.98,4096,605204,35,256,"[256, 256] ",4,4,4096,605204
110,Local,"[16, 16] ",3226.59,256,7124,35,16,"[16, 16] ",4,4,256,7124
111,Local,"[32, 32] ",3240.43,512,18324,35,32,"[32, 32] ",4,4,512,18324
112,Local,"[128, 128] ",2674.13,2048,171540,35,128,"[128, 128] ",4,4,2048,171540
113,Local,"[256, 256] ",2608.57,4096,605204,35,256,"[256, 256] ",4,4,4096,605204
114,FullyDecentralized,"[16, 16] ",3527.2,256,5076,19,16,"[16, 16] ",4,4,256,5076
115,FullyDecentralized,"[32, 32] ",3198.27,512,14228,19,32,"[32, 32] ",4,4,512,14228
116,FullyDecentralized,"[128, 128] ",2919.75,2048,155156,19,128,"[128, 128] ",4,4,2048,155156
117,FullyDecentralized,"[256, 256] ",2824.05,4096,572436,19,256,"[256, 256] ",4,4,4096,572436
118,FullyDecentralized,"[16, 16] ",3162.29,256,5076,19,16,"[16, 16] ",4,4,256,5076
119,FullyDecentralized,"[32, 32] ",3252.93,512,14228,19,32,"[32, 32] ",4,4,512,14228
120,FullyDecentralized,"[128, 128] ",2790.17,2048,155156,19,128,"[128, 128] ",4,4,2048,155156
121,FullyDecentralized,"[256, 256] ",2755.46,4096,572436,19,256,"[256, 256] ",4,4,4096,572436
122,FullyDecentralized,"[16, 16] ",2927.55,256,5076,19,16,"[16, 16] ",4,4,256,5076
123,FullyDecentralized,"[32, 32] ",3035.31,512,14228,19,32,"[32, 32] ",4,4,512,14228
124,FullyDecentralized,"[128, 128] ",3061.72,2048,155156,19,128,"[128, 128] ",4,4,2048,155156
125,FullyDecentralized,"[256, 256] ",2715.95,4096,572436,19,256,"[256, 256] ",4,4,4096,572436
126,FullyDecentralized,"[16, 16] ",3505.03,256,5076,19,16,"[16, 16] ",4,4,256,5076
127,FullyDecentralized,"[32, 32] ",3402.33,512,14228,19,32,"[32, 32] ",4,4,512,14228
128,FullyDecentralized,"[128, 128] ",2710.08,2048,155156,19,128,"[128, 128] ",4,4,2048,155156
129,FullyDecentralized,"[256, 256] ",3031.19,4096,572436,19,256,"[256, 256] ",4,4,4096,572436
130,FullyDecentralized,"[16, 16] ",2887.87,256,5076,19,16,"[16, 16] ",4,4,256,5076
131,FullyDecentralized,"[32, 32] ",3338.97,512,14228,19,32,"[32, 32] ",4,4,512,14228
132,FullyDecentralized,"[128, 128] ",2799.13,2048,155156,19,128,"[128, 128] ",4,4,2048,155156
133,FullyDecentralized,"[256, 256] ",2554.78,4096,572436,19,256,"[256, 256] ",4,4,4096,572436
134,FullyDecentralized,"[16, 16] ",2851.16,256,5076,19,16,"[16, 16] ",4,4,256,5076
135,FullyDecentralized,"[32, 32] ",3241.94,512,14228,19,32,"[32, 32] ",4,4,512,14228
136,FullyDecentralized,"[128, 128] ",2632.6,2048,155156,19,128,"[128, 128] ",4,4,2048,155156
137,FullyDecentralized,"[256, 256] ",2903.13,4096,572436,19,256,"[256, 256] ",4,4,4096,572436
138,FullyDecentralized,"[16, 16] ",3014.99,256,5076,19,16,"[16, 16] ",4,4,256,5076
139,FullyDecentralized,"[32, 32] ",3381.27,512,14228,19,32,"[32, 32] ",4,4,512,14228
140,FullyDecentralized,"[128, 128] ",2469.4,2048,155156,19,128,"[128, 128] ",4,4,2048,155156
141,FullyDecentralized,"[256, 256] ",2794.94,4096,572436,19,256,"[256, 256] ",4,4,4096,572436
142,FullyDecentralized,"[16, 16] ",3399.97,256,5076,19,16,"[16, 16] ",4,4,256,5076
143,FullyDecentralized,"[32, 32] ",2720.18,512,14228,19,32,"[32, 32] ",4,4,512,14228
144,FullyDecentralized,"[128, 128] ",2675.92,2048,155156,19,128,"[128, 128] ",4,4,2048,155156
145,FullyDecentralized,"[256, 256] ",3050.64,4096,572436,19,256,"[256, 256] ",4,4,4096,572436
146,Centralized,"[64, 64]",2409.08,256,15057,43,64,"[64, 64]",16,1,256,15057
147,Centralized,"[64, 64]",2118.27,256,15057,43,64,"[64, 64]",16,1,256,15057
148,Centralized,"[64, 64]",2284.2,256,15057,43,64,"[64, 64]",16,1,256,15057
149,Centralized,"[64, 64]",2603.02,256,15057,43,64,"[64, 64]",16,1,256,15057
150,Centralized,"[64, 64]",3330.94,256,15057,43,64,"[64, 64]",16,1,256,15057
151,Centralized,"[64, 64]",2341.96,256,15057,43,64,"[64, 64]",16,1,256,15057
152,Centralized,"[64, 64]",2777.28,256,15057,43,64,"[64, 64]",16,1,256,15057
153,Centralized,"[64, 64]",2203.95,256,15057,43,64,"[64, 64]",16,1,256,15057
154,Centralized,"[64, 64]",3068.31,256,15057,43,64,"[64, 64]",16,1,256,15057
155,Centralized,"[64, 64]",3315.81,256,15057,43,64,"[64, 64]",16,1,256,15057
156,FullyDecentralized,"[64, 64]",3193.36,1024,44820,19,64,"[64, 64]",4,4,1024,44820
157,FullyDecentralized,"[64, 64]",3055.08,1024,44820,19,64,"[64, 64]",4,4,1024,44820
158,FullyDecentralized,"[64, 64]",2888.65,1024,44820,19,64,"[64, 64]",4,4,1024,44820
159,FullyDecentralized,"[64, 64]",2853.98,1024,44820,19,64,"[64, 64]",4,4,1024,44820
160,FullyDecentralized,"[64, 64]",2999.86,1024,44820,19,64,"[64, 64]",4,4,1024,44820
161,FullyDecentralized,"[64, 64]",3215.84,1024,44820,19,64,"[64, 64]",4,4,1024,44820
162,FullyDecentralized,"[64, 64]",2984.48,1024,44820,19,64,"[64, 64]",4,4,1024,44820
163,FullyDecentralized,"[64, 64]",3119.42,1024,44820,19,64,"[64, 64]",4,4,1024,44820
164,FullyDecentralized,"[64, 64]",3252.03,1024,44820,19,64,"[64, 64]",4,4,1024,44820
165,FullyDecentralized,"[64, 64]",3060.43,1024,44820,19,64,"[64, 64]",4,4,1024,44820
166,Local,"[64, 64]",2988.76,1024,53012,35,64,"[64, 64]",4,4,1024,53012
167,Local,"[64, 64]",3069.81,1024,53012,35,64,"[64, 64]",4,4,1024,53012
168,Local,"[64, 64]",3151.06,1024,53012,35,64,"[64, 64]",4,4,1024,53012
169,Local,"[64, 64]",3170.6,1024,53012,35,64,"[64, 64]",4,4,1024,53012
170,Local,"[64, 64]",3153.83,1024,53012,35,64,"[64, 64]",4,4,1024,53012
